"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R39,R21,R4,R40,R33,R44";"R_0805_2012Metric";6;"10K";;;
2;"R22,R6,R24,R5";"R_0805_2012Metric";4;"470R";;;
3;"J3,J6,J5";"PinHeader_1x08_P2.54mm_Vertical";3;"Conn_01x08_Pin";;;
4;"C8,C22,C1,C5,C11,C7,C23,C9,C10";"C_0805_2012Metric";9;"0.1uF";;;
5;"R12,R29,R31,R38,R43,R13";"R_0805_2012Metric";6;"100R";;;
6;"U6";"TSSOP-14_4.4x5mm_P0.65mm";1;"TXB0104PW";;;
7;"U4";"SOT-23-5";1;"RT9193-33GB";;;
8;"C18,C19,C6,C14,C13";"C_1206_3216Metric";5;"1uF 10V X7R";;;
9;"J2,J1,J7";"PinHeader_1x03_P2.54mm_Vertical";3;"Conn_01x03_Pin";;;
10;"R28,R27,R32";"R_0805_2012Metric";3;"1.5K";;;
11;"D3";"LED_0805_2012Metric";1;"MSC";;;
12;"J4";"USB_C_Receptacle_G-Switch_GT-USB-7010ASV";1;"USB_C_Receptacle_USB2.0_16P";;;
13;"R45,R18,R19,R37";"R_0805_2012Metric";4;"4.7K";;;
14;"Q3,Q2,Q8,Q6,Q7,Q5,Q1";"SOT-23";7;"SI2306";;;
15;"R7,R9";"R_0805_2012Metric";2;"10k";;;
16;"R30";"R_0805_2012Metric";1;"4.7k";;;
17;"R23,R20";"R_0805_2012Metric";2;"100";;;
18;"SW1";"SW_SPST_SKQG_WithStem";1;"SKQGAFE010";;;
19;"U5";"SOT-89-3";1;"HT75xx-1-SOT89";;;
20;"R42,R41";"R_0805_2012Metric";2;"0R";;;
21;"R10,R17,R14,R8,R15,R11,R16";"R_0805_2012Metric";7;"22R";;;
22;"D4";"LED_0805_2012Metric";1;"CONNECTED";;;
23;"D6";"LED_0805_2012Metric";1;"TX";;;
24;"D8";"SOT-143";1;"PRTR5V0U2X";;;
25;"C12,C20";"C_0805_2012Metric";2;"10uF 10V";;;
26;"C3,C2";"C_0603_1608Metric";2;"22pF";;;
27;"D5";"LED_0805_2012Metric";1;"RUNNING";;;
28;"R2,R1,R3";"R_0805_2012Metric";3;"1.5k";;;
29;"FB1";"L_0603_1608Metric";1;"CBW160808U601T";;;
30;"U3";"SOT-23-5";1;"RT9193-18GB";;;
31;"R36,R34,R35";"R_0805_2012Metric";3;"100K";;;
32;"C16,C17";"C_0805_2012Metric";2;"22nF";;;
33;"D2";"LED_0805_2012Metric";1;"CDC";;;
34;"D1";"LED_0805_2012Metric";1;"HID";;;
35;"C15,C21";"C_0805_2012Metric";2;"10uF 6.3V";;;
36;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND24";;;
37;"U1";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103CBTx";;;
38;"R26,R25";"R_0805_2012Metric";2;"5.1k";;;
39;"Q4";"SOT-23";1;"SI2301";;;
40;"D7";"LED_0805_2012Metric";1;"RX";;;
41;"U2";"SOT-223-3_TabPin2";1;"LM1117MP-3.3";;;
